t concentration bin0 bin1 bin2 bin3 bin4 bin5 bin6 bin7 bin8 bin9
0 1.0203 7500 0 0 0 0 0 0 0 0 2500
0.000204061 0 10000 0 0 0 0 0 0 0 0 0
0.000408122 0 10000 0 0 0 0 0 0 0 0 0
0.000612182 0 10000 0 0 0 0 0 0 0 0 0
0.000816243 0 10000 0 0 0 0 0 0 0 0 0
0.0010203 0 10000 0 0 0 0 0 0 0 0 0
0.00122436 0 10000 0 0 0 0 0 0 0 0 0
0.00142843 0 10000 0 0 0 0 0 0 0 0 0
0.00163249 0 10000 0 0 0 0 0 0 0 0 0
0.00183655 0 10000 0 0 0 0 0 0 0 0 0
0.00204061 0 10000 0 0 0 0 0 0 0 0 0
0.00224467 0 10000 0 0 0 0 0 0 0 0 0
0.00244873 0 10000 0 0 0 0 0 0 0 0 0
0.00265279 0 10000 0 0 0 0 0 0 0 0 0
0.00285685 0 10000 0 0 0 0 0 0 0 0 0
0.00306091 0 10000 0 0 0 0 0 0 0 0 0
0.00326497 0 10000 0 0 0 0 0 0 0 0 0
0.00346903 0 10000 0 0 0 0 0 0 0 0 0
0.00367309 0 10000 0 0 0 0 0 0 0 0 0
0.00387716 0 10000 0 0 0 0 0 0 0 0 0
0.00408122 0 10000 0 0 0 0 0 0 0 0 0
0.00428528 0 10000 0 0 0 0 0 0 0 0 0
0.00448934 0 10000 0 0 0 0 0 0 0 0 0
0.0046934 0 10000 0 0 0 0 0 0 0 0 0
0.00489746 0 10000 0 0 0 0 0 0 0 0 0
0.00510152 0 10000 0 0 0 0 0 0 0 0 0
0.00530558 0 10000 0 0 0 0 0 0 0 0 0
0.00550964 0 10000 0 0 0 0 0 0 0 0 0
0.0057137 0 10000 0 0 0 0 0 0 0 0 0
0.00591776 0 10000 0 0 0 0 0 0 0 0 0
0.00612182 0 10000 0 0 0 0 0 0 0 0 0
0.00632589 0 10000 0 0 0 0 0 0 0 0 0
0.00652995 0 10000 0 0 0 0 0 0 0 0 0
0.00673401 0 10000 0 0 0 0 0 0 0 0 0
0.00693807 0 10000 0 0 0 0 0 0 0 0 0
0.00714213 0 10000 0 0 0 0 0 0 0 0 0
0.00734619 0 10000 0 0 0 0 0 0 0 0 0
0.00755025 0 10000 0 0 0 0 0 0 0 0 0
0.00775431 0 10000 0 0 0 0 0 0 0 0 0
0.00795837 0 10000 0 0 0 0 0 0 0 0 0
0.00816243 0 10000 0 0 0 0 0 0 0 0 0
0.00836649 0 10000 0 0 0 0 0 0 0 0 0
0.00857055 0 10000 0 0 0 0 0 0 0 0 0
0.00877461 0 10000 0 0 0 0 0 0 0 0 0
0.00897868 0 10000 0 0 0 0 0 0 0 0 0
0.00918274 0 10000 0 0 0 0 0 0 0 0 0
0.0093868 0 10000 0 0 0 0 0 0 0 0 0
0.00959086 0 10000 0 0 0 0 0 0 0 0 0
0.00979492 0 10000 0 0 0 0 0 0 0 0 0
0.00999898 0 10000 0 0 0 0 0 0 0 0 0
0.010203 0 10000 0 0 0 0 0 0 0 0 0
0.0104071 0 10000 0 0 0 0 0 0 0 0 0
0.0106112 0 10000 0 0 0 0 0 0 0 0 0
0.0108152 0 10000 0 0 0 0 0 0 0 0 0
0.0110193 0 10000 0 0 0 0 0 0 0 0 0
0.0112233 0 10000 0 0 0 0 0 0 0 0 0
0.0114274 0 10000 0 0 0 0 0 0 0 0 0
0.0116315 0 10000 0 0 0 0 0 0 0 0 0
0.0118355 0 10000 0 0 0 0 0 0 0 0 0
0.0120396 0 10000 0 0 0 0 0 0 0 0 0
0.0122436 0 10000 0 0 0 0 0 0 0 0 0
0.0124477 0 10000 0 0 0 0 0 0 0 0 0
0.0126518 0 10000 0 0 0 0 0 0 0 0 0
0.0128558 0 10000 0 0 0 0 0 0 0 0 0
0.0130599 0 10000 0 0 0 0 0 0 0 0 0
0.013264 0 10000 0 0 0 0 0 0 0 0 0
0.013468 0 10000 0 0 0 0 0 0 0 0 0
0.0136721 0 10000 0 0 0 0 0 0 0 0 0
0.0138761 0 10000 0 0 0 0 0 0 0 0 0
0.0140802 0 10000 0 0 0 0 0 0 0 0 0
0.0142843 0 10000 0 0 0 0 0 0 0 0 0
0.0144883 0 10000 0 0 0 0 0 0 0 0 0
0.0146924 0 10000 0 0 0 0 0 0 0 0 0
0.0148964 0 10000 0 0 0 0 0 0 0 0 0
0.0151005 0 10000 0 0 0 0 0 0 0 0 0
0.0153046 0 10000 0 0 0 0 0 0 0 0 0
0.0155086 0 10000 0 0 0 0 0 0 0 0 0
0.0157127 0 10000 0 0 0 0 0 0 0 0 0
0.0159167 0 10000 0 0 0 0 0 0 0 0 0
0.0161208 0 10000 0 0 0 0 0 0 0 0 0
0.0163249 0 10000 0 0 0 0 0 0 0 0 0
0.0165289 0 10000 0 0 0 0 0 0 0 0 0
0.016733 0 10000 0 0 0 0 0 0 0 0 0
0.016937 0 10000 0 0 0 0 0 0 0 0 0
0.0171411 0 10000 0 0 0 0 0 0 0 0 0
0.0173452 0 10000 0 0 0 0 0 0 0 0 0
0.0175492 0 10000 0 0 0 0 0 0 0 0 0
0.0177533 0 10000 0 0 0 0 0 0 0 0 0
0.0179574 0 10000 0 0 0 0 0 0 0 0 0
0.0181614 0 10000 0 0 0 0 0 0 0 0 0
0.0183655 0 10000 0 0 0 0 0 0 0 0 0
0.0185695 0 10000 0 0 0 0 0 0 0 0 0
0.0187736 0 10000 0 0 0 0 0 0 0 0 0
0.0189777 0 10000 0 0 0 0 0 0 0 0 0
0.0191817 0 10000 0 0 0 0 0 0 0 0 0
0.0193858 0 10000 0 0 0 0 0 0 0 0 0
